listing_id,title,district,property_type,price_hkd,usable_area_sqft,bedrooms,bathrooms,floor,kitchen_type,building_age_years,agency,image_url,url,fetched_at,enriched_at,estate,building_area_sqft,address,description,latitude,longitude,rent_includes,subletting,cooking_method,primary_school_net,secondary_school_net,published_at,updated_at,expires_at,image_urls,sharing_type,sharing_terms,monthly_mortgage_hkd,monthly_holding_hkd,monthly_outlay_hkd,initial_outlay_hkd,est_market_rent_hkd,npv_total_cost_buy_30y_hkd,npv_total_cost_rent_30y_hkd,npv_net_worth_buy_30y_hkd,npv_net_worth_rent_30y_hkd,buy_vs_rent_30y_hkd
3885151,歡迎查詢,油麻地,唐樓/拍賣盤,2680000,536,3,1,高層,,,環亞物業拍賣有限公司,https://i1.28hse.com/2026/06/202606252320391247535_thumb.jpg,https://www.28hse.com/buy/apartment/property-3885151,2026-08-06T17:33:59.496264+00:00,2026-08-06T17:57:09.497697+00:00,唐樓,,九龍油麻地唐樓 砲台街44號 連天台,歡迎查詢,,,,,,,,2026-06-10T17:26:36+08:00,2026-06-25T23:20:48+08:00,2026-08-09T17:26:36+08:00,"[""https://i1.28hse.com/2026/06/202606252320407470447_large.jpg"", ""https://i1.28hse.com/2026/06/202606252320404739315_large.jpg"", ""https://i1.28hse.com/2026/06/202606252320405730350_large.jpg"", ""https://i1.28hse.com/2026/06/202606252320417556026_large.jpg"", ""https://i1.28hse.com/2026/06/202606252320413829798_large.jpg""]",,,9645,3194,12839,924600,5583,3978482,1978146,386682,3343889,-2957207
3820706,"福華街,唐四樓,近桂林街,三分鐘到地鐵站口！",深水埗,唐樓,2680000,435,3,3,,開放式廚房,,富華地產,https://i1.28hse.com/2026/04/202604261756305159002_thumb.jpg,https://www.28hse.com/buy/apartment/property-3820706,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:13:19.304644+00:00,福華街135號 Fuk Wa Street 135,,九龍深水埗福華街135號 福華街135號,"半交吉,三個套房,兩間收月租$8700,一個交吉,邊收租,邊自用,均可！歡迎索取視頻短片！",,,,,,,,2026-07-12T17:45:21+08:00,2026-07-12T17:45:21+08:00,2026-09-10T17:45:21+08:00,"[""https://i1.28hse.com/2026/04/202604261756306855506_large.jpg"", ""https://i1.28hse.com/2026/04/20260426175641147177_large.jpg"", ""https://i1.28hse.com/2026/04/202604261756317567443_large.jpg"", ""https://i1.28hse.com/2026/04/202604261756321215568_large.jpg"", ""https://i1.28hse.com/2026/04/202604261756343404963_large.jpg"", ""https://i1.28hse.com/2026/04/202604261756355380554_large.jpg"", ""https://i1.28hse.com/2026/04/202604261756375587984_large.jpg"", ""https://i1.28hse.com/2026/04/202604261756386342946_large.jpg"", ""https://i1.28hse.com/2026/04/202604261756402567532_large.jpg""]",,,9645,2739,12384,924600,5583,3817455,1978146,698855,3343889,-2645035
2906570,唐樓8/F 入契天台 旺角花園街 舊裝修,旺角,私人屋苑/唐樓/單幢式大廈,2750000,633,2,1,,,,君皇地產有限公司,https://i1.28hse.com/2024/02/202402241908317302369_thumb.jpg,https://www.28hse.com/buy/apartment/property-2906570,2026-08-06T17:33:59.496264+00:00,2026-08-06T17:59:39.821189+00:00,唐樓,,九龍旺角唐樓 花園街127-127A號,"詳情或其他間隔單位(租/售)
歡迎致電或WHATSAPP查詢
(852) HugoCheuk 卓生",22.321452100000002,114.17059099999999,,,,,,2026-06-28T23:34:09+08:00,2026-06-28T23:34:09+08:00,2026-08-27T23:34:09+08:00,"[""https://i1.28hse.com/2024/02/202402241908308721589_large.jpg"", ""https://i1.28hse.com/2024/02/202402241908315211838_large.jpg"", ""https://i1.28hse.com/2024/02/20240224190831749110_large.jpg"", ""https://i1.28hse.com/2024/02/202402241908314538851_large.jpg"", ""https://i1.28hse.com/2024/02/202402241908322588662_large.jpg"", ""https://i1.28hse.com/2024/02/202402241908328195189_large.jpg"", ""https://i1.28hse.com/2024/02/202402241908338152090_large.jpg"", ""https://i1.28hse.com/2024/02/202402241908334106637_large.jpg"", ""https://i1.28hse.com/2024/02/202402241908336455205_large.jpg"", ""https://i1.28hse.com/2024/02/202402241908351333815_large.jpg"", ""https://i1.28hse.com/2024/02/202402250024016571729_large.jpg"", ""https://i1.28hse.com/2024/02/202402250024017027878_large.jpg""]",,,9897,3651,13548,948750,5729,4214727,2029814,52904,3343889,-3290985
3962459,【唐樓】738呎3房 鄰近地鐵站全屋未間 景觀開揚 呎價@37xx 即買即用,深水埗,唐樓,2750000,738,3,1,高層,,,駿輝地產專業有限公司,https://i1.28hse.com/2026/08/20260806162230705385_thumb.jpg,https://www.28hse.com/buy/apartment/property-3962459,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:11:21.873311+00:00,唐樓,,九龍深水埗唐樓 鴨寮街,"歡迎致電/Whatsapp查詢 彭小姐 𝟔𝟒𝟏𝟔 𝟐𝟐𝟏𝟖
鴨寮街
所屬校網: 深水埗40號校網
【交通方便 3分鐘直到深水埗地鐵站】
【旺區之選 應有盡有】
【設備齊全 即租即住】
【核心地段 生活配套應有盡有】
【間隔方正 實用號率極高】
駿輝地產分行(14間)
* 本司客源廣實客多 *
* 盡心盡力忠誠待客 *
* 專營油尖旺區樓盤 *
* 多行聯營信心保證 *
* 歡迎業主電話放盤 *
► 免費提供銀行估價
► 免費網上廣告宣傳
► 專業銀行按揭, 律師樓轉名",,,,,,,,2026-08-06T16:22:50+08:00,2026-08-06T16:22:50+08:00,2026-10-05T16:22:50+08:00,"[""https://i1.28hse.com/2026/08/202608061622308703766_large.jpg""]",,,9897,4123,14020,948750,5729,4382131,2029814,-271631,3343889,-3615521
3926846,*低層唐樓 特惠尺價 鄰近太子站 旺中帶靜*,太子,唐樓/單幢式大廈,2780000,485,1,1,,,,廣信地產顧問有限公司,https://i1.28hse.com/2026/07/202607101818588652498_thumb.jpg,https://www.28hse.com/buy/apartment/property-3926846,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:01:22.005632+00:00,唐樓,,九龍太子唐樓 新填地街,"*交通方便
*廣信地產多間分行為你服務：
-大角咀埃華街70號大成樓地下1C2號舖
油麻地上海街383號地下A2舖
-旺角山東街24號地下B舖
-旺角渡船街323號地下2號舖",,,,,,,,2026-07-10T18:19:06+08:00,2026-07-28T15:39:24+08:00,2026-09-08T18:19:06+08:00,"[""https://i1.28hse.com/2026/07/202607101818598074142_large.jpg"", ""https://i1.28hse.com/2026/07/202607101818595279057_large.jpg"", ""https://i1.28hse.com/2026/07/202607101818596858081_large.jpg""]",,,10005,2993,12998,959100,5792,4013736,2051957,495787,3343889,-2848103
3952842,深水埗地鐵站步行1分鐘 平地電梯已換新 做學生宿舍 簡樸房收租回報極高,深水埗,洋樓/單幢式大廈,3000000,546,3,3,,,,喜居物業(旺角舖),https://i1.28hse.com/2026/07/202607302002565389378_thumb.jpg,https://www.28hse.com/buy/apartment/property-3952842,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:11:49.223232+00:00,協興大廈,,九龍深水埗協興大廈 長沙灣道158-160A號,單位四正開揚，地段好 交通方便 自用投資一流,22.330047999999998,114.163589,,,,,,2026-07-30T20:06:05+08:00,2026-07-30T23:29:06+08:00,2026-08-29T20:06:05+08:00,"[""https://i1.28hse.com/2026/07/202607302002587679441_large.jpg"", ""https://i1.28hse.com/2026/07/202607302003004017610_large.jpg"", ""https://i1.28hse.com/2026/07/202607302003021539553_large.jpg"", ""https://i1.28hse.com/2026/07/202607302003058496148_large.jpg"", ""https://i1.28hse.com/2026/07/202607302003075347422_large.jpg"", ""https://i1.28hse.com/2026/07/202607302003094515647_large.jpg"", ""https://i1.28hse.com/2026/07/202607302003114137454_large.jpg"", ""https://i1.28hse.com/2026/07/202607302003135961583_large.jpg"", ""https://i1.28hse.com/2026/07/202607302003153813139_large.jpg"", ""https://i1.28hse.com/2026/07/202607302003185322930_large.jpg"", ""https://i1.28hse.com/2026/07/202607302003206728985_large.jpg"", ""https://i1.28hse.com/2026/07/20260730200322692336_large.jpg"", ""https://i1.28hse.com/2026/07/202607302003244197527_large.jpg"", ""https://i1.28hse.com/2026/07/202607302003268139572_large.jpg"", ""https://i1.28hse.com/2026/07/202607302003298350046_large.jpg"", ""https://i1.28hse.com/2026/07/202607302003314430544_large.jpg""]",,,10797,3332,14129,1035000,6250,4367431,2214342,200487,3343889,-3143402
3960428,***一減再減***筍盤 唐5/F樓 575尺 大大間 {{1分鐘旺角站}},旺角,唐樓/單幢式大廈,3080000,575,3,1,中層,,,龍鳳地產-大全街分行,https://i1.28hse.com/2026/08/202608051120188413508_thumb.jpg,https://www.28hse.com/buy/apartment/property-3960428,2026-08-06T17:33:59.496264+00:00,2026-08-06T17:57:31.030598+00:00,單幢樓房,650,九龍旺角單幢樓房 砵蘭街294號,"旺角砵蘭街294號唐5/F樓 
59年樓 一梯兩伙 簡簡單單(大廈住宅2/F-7/F)
$5XXX/呎 5/F樓 3房1廳 即買即住 唔駛煩
1分鐘旺角站A2出口
業主決心走貨 大平賣 勿錯過
快者得",22.320366,114.169769,,,,,,2026-08-05T11:21:10+08:00,2026-08-05T11:21:10+08:00,2026-10-04T11:21:10+08:00,"[""https://i1.28hse.com/2026/08/202608051120124568647_large.jpg"", ""https://i1.28hse.com/2026/08/202608051120216906056_large.jpg"", ""https://i1.28hse.com/2026/08/202608051120294556093_large.jpg"", ""https://i1.28hse.com/2026/08/20260805112029850806_large.jpg"", ""https://i1.28hse.com/2026/08/202608051120305118172_large.jpg"", ""https://i1.28hse.com/2026/08/202608051120316730917_large.jpg"", ""https://i1.28hse.com/2026/08/202608051120368526679_large.jpg"", ""https://i1.28hse.com/2026/08/202608051120387605284_large.jpg"", ""https://i1.28hse.com/2026/08/202608051120403320562_large.jpg"", ""https://i1.28hse.com/2026/08/202608051120425079245_large.jpg"", ""https://i1.28hse.com/2026/08/202608051120472800782_large.jpg"", ""https://i1.28hse.com/2026/08/202608051120482859214_large.jpg""]",,,11085,3486,14571,1062600,6417,4506918,2273391,72032,3343889,-3271858
3882412,「急讓 潛力地段 博收購首選」已間3套房 交吉放售 有匙可睇,深水埗,唐樓,3300000,635,3,3,,,,廣信地產顧問有限公司,https://i1.28hse.com/2026/06/202606081726527195596_thumb.jpg,https://www.28hse.com/buy/apartment/property-3882412,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:14:53.838868+00:00,唐樓,,九龍深水埗唐樓 大南街263號,"----------------------------
「急讓 潛力地段 博收購首選」已間3套房 交吉放售 有匙可睇",22.3283258,114.1617133,,,,,,2026-06-08T17:27:04+08:00,2026-06-20T17:18:37+08:00,2026-08-07T17:27:04+08:00,"[""https://i1.28hse.com/2026/06/202606081726527670817_large.jpg"", ""https://i1.28hse.com/2026/06/20260608172653351307_large.jpg"", ""https://i1.28hse.com/2026/06/202606081726538280388_large.jpg"", ""https://i1.28hse.com/2026/06/202606081726538600214_large.jpg"", ""https://i1.28hse.com/2026/06/20260608172654966161_large.jpg"", ""https://i1.28hse.com/2026/06/202606081726547014229_large.jpg"", ""https://i1.28hse.com/2026/06/202606081726557540842_large.jpg"", ""https://i1.28hse.com/2026/06/202606081726552838391_large.jpg""]",,,11876,3820,15696,1138500,6875,4859019,2435776,-220177,3343889,-3564067
3936464,筍筍筍~~ 低層唐樓 近地鐵站 靚間格 即買即租,油麻地,唐樓,3380000,535,3,3,,,,世紀21廣發,https://i1.28hse.com/2026/07/20260718145159906478_thumb.jpg,https://www.28hse.com/buy/apartment/property-3936464,2026-08-06T17:33:59.496264+00:00,2026-08-06T17:55:36.521225+00:00,單幢樓房,,九龍油麻地單幢樓房 油麻地,"有街閘
近地鐵站
多窗靚則",22.306853999999998,114.17143999999999,,,,,,2026-07-17T20:49:12+08:00,2026-07-18T14:53:48+08:00,2026-09-15T20:49:12+08:00,"[""https://i1.28hse.com/2026/07/202607181451596797119_large.jpg"", ""https://i1.28hse.com/2026/07/202607181452074844822_large.jpg"", ""https://i1.28hse.com/2026/07/202607181452097886954_large.jpg"", ""https://i1.28hse.com/2026/07/202607181452065569159_large.jpg"", ""https://i1.28hse.com/2026/07/202607181452034735061_large.jpg"", ""https://i1.28hse.com/2026/07/20260718145200435750_large.jpg"", ""https://i1.28hse.com/2026/07/202607181452028808120_large.jpg"", ""https://i1.28hse.com/2026/07/20260718145201816674_large.jpg"", ""https://i1.28hse.com/2026/07/20260718145201939606_large.jpg"", ""https://i1.28hse.com/2026/07/202607181452083754121_large.jpg"", ""https://i1.28hse.com/2026/07/202607181452058494149_large.jpg"", ""https://i1.28hse.com/2026/07/202607181452031759963_large.jpg"", ""https://i1.28hse.com/2026/07/202607181452042233651_large.jpg"", ""https://i1.28hse.com/2026/07/202607181452052730786_large.jpg""]",,,12164,3393,15558,1166100,7042,4792838,2494825,50083,3343889,-3293807
2937348,✯✯絕對實盤 洋樓平地lift 筍過唐樓即買即收租 投資首選✯✯,長沙灣,單幢式大廈,3380000,488,3,,中層,,,千億物業 長沙灣分行,https://i1.28hse.com/2026/07/202607231809344225298_thumb.jpg,https://www.28hse.com/buy/apartment/property-2937348,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:09:28.544077+00:00,永隆大廈,,九龍長沙灣永隆大廈 永隆街22號,"投資高回報！即買即收租！
 洋樓平地lift 筍過唐樓
千億物業
張小姐 Kelly Cheung 
溫家明 Andy Wan",22.337105,114.15837900000001,,,,,,2026-06-07T12:42:26+08:00,2026-07-23T18:13:57+08:00,2026-08-06T12:42:25+08:00,"[""https://i1.28hse.com/2026/07/202607231809336140087_large.jpg"", ""https://i1.28hse.com/2026/07/202607231809336966430_large.jpg"", ""https://i1.28hse.com/2024/02/202402031330015659157_large.jpg"", ""https://i1.28hse.com/2024/02/202402031330164816570_large.jpg"", ""https://i1.28hse.com/2026/07/20260723180934663819_large.jpg""]",,,12164,3182,15346,1166100,7042,4717905,2494825,195351,3343889,-3148539
