listing_id,title,district,property_type,price_hkd,usable_area_sqft,bedrooms,bathrooms,agency,image_url,url,fetched_at
3921651,特大兩房一廳，何文田地鐵站旁邊，我步行理工/都會大學 將會更換冷氣油漆裝修,紅磡,蔚景樓,15000,415,2,1,德榮地產代理公司,https://i1.28hse.com/2026/07/202607211222054529593_thumb.jpg,https://www.28hse.com/rent/apartment/property-3921651,2026-08-02T21:33:05.478720+00:00
3915893,可種花種菜燒嘢食，5分鐘地鐵,紅磡,福年新樓,14800,413,2,1,環球物業 (香港),https://i1.28hse.com/2026/07/202607031559588673691_thumb.jpg,https://www.28hse.com/rent/apartment/property-3915893,2026-08-02T21:33:05.478720+00:00
3875747,新裝修，歡迎學生，三房開陽東南，大單邊明廁，5分鐘生活圈，交通便利,紅磡,崇義樓,15500,462,3,1,匯誠物業有限公司,https://i1.28hse.com/2026/06/202606041544274378021_thumb.jpg,https://www.28hse.com/rent/apartment/property-3875747,2026-08-02T21:33:05.478720+00:00
3822498,"「留學生福利」單間起租, 家具齊備, 密碼鎖, 獨立空間",紅磡,海濱南岸,7800,593,3,2,迎富地產代理有限公司,https://i1.28hse.com/2026/06/202606042122153877780_thumb.jpg,https://www.28hse.com/rent/apartment/property-3822498,2026-08-02T21:33:05.478720+00:00
1589419,"尖沙咀豪裝全新高層套房, 新裝大堂，業主盤免佣。2分鐘地鐵/電腦大門、平地升降機",尖沙咀,漢光大廈,7888,675,1,1,,https://i1.28hse.com/2026/08/202608011734568766021_thumb.jpg,https://www.28hse.com/rent/apartment/property-1589419,2026-08-02T21:33:05.478720+00:00
3957365,尖沙咀站出口旁遠東大廈,尖沙咀,遠東大廈,10000,695,1,1,駿輝地產世一有限公司,https://i1.28hse.com/2026/08/202608030120278661266_thumb.jpg,https://www.28hse.com/rent/apartment/property-3957365,2026-08-02T21:33:05.478720+00:00
3957363,【開學急放】尖沙咀地鐵口1min套房 $8750全包免佣 僅此一間先到先得,尖沙咀,遠東大廈,8750,695,1,1,駿輝地產世一有限公司,https://i1.28hse.com/2026/08/202608030109318266907_thumb.jpg,https://www.28hse.com/rent/apartment/property-3957363,2026-08-02T21:33:05.478720+00:00
3953949,尖沙咀 【海防大廈】 酒店式精品1房1廳套房 包傢電 新淨企理 樓下即達尖沙咀,尖沙咀,海防大廈,9700,546,1,1,駿輝地產有限公司,https://i1.28hse.com/2026/07/20260731175552815338_thumb.jpg,https://www.28hse.com/rent/apartment/property-3953949,2026-08-02T21:33:05.478720+00:00
3823532,罕有三房 四正開陽鄰近理工,尖沙咀,唐樓,16000,433,3,1,嘉憶地產,https://i1.28hse.com/2026/07/202607062337238374553_thumb.jpg,https://www.28hse.com/rent/apartment/property-3823532,2026-08-02T21:33:05.478720+00:00
3930744,[美麗都大廈 ]尖沙咀最平3房!!間隔試正 超值價格 唔好錯過,尖沙咀,美麗都大廈,16000,543,3,1,駿輝地產世一有限公司,https://i1.28hse.com/2026/07/202607291803291678625_thumb.jpg,https://www.28hse.com/rent/apartment/property-3930744,2026-08-02T21:33:05.478720+00:00
3950952,尖沙咀 美麗都大廈 三房一廳 地方空間大 新淨企理 性價比高,尖沙咀,美麗都大廈,16000,543,3,1,駿輝地產有限公司,https://i1.28hse.com/2026/07/202607291534258357779_thumb.jpg,https://www.28hse.com/rent/apartment/property-3950952,2026-08-02T21:33:05.478720+00:00
3885155,隨時约看,尖沙咀,單幢樓房,17000,570,2,1,信富地產,https://i1.28hse.com/2026/06/20260610172656526739_thumb.jpg,https://www.28hse.com/rent/apartment/property-3885155,2026-08-02T21:33:05.478720+00:00
3945251,有海景附設電器傢俬交通方便食肆林立即時入住,尖沙咀,恆星樓,16800,431,2,1,駿輝地產皓譽有限公司,https://i1.28hse.com/2026/08/202608011220133357898_thumb.jpg,https://www.28hse.com/rent/apartment/property-3945251,2026-08-02T21:33:05.478720+00:00
2257553,尖沙咀彌敦道/樂道，近地鐵口，兩房商住，小厨,尖沙咀,華源大廈,15000,478,2,1,利基物業代理有限公司,https://i1.28hse.com/2026/07/202607171451312160766_thumb.jpg,https://www.28hse.com/rent/apartment/property-2257553,2026-08-02T21:33:05.478720+00:00
3942845,免上網費、1房獨卫！全新洗衣机/雪櫃,尖沙咀,遠東大廈,8700,695,1,1,世紀21聯動地產,https://i1.28hse.com/2026/07/202607230952471917916_thumb.jpg,https://www.28hse.com/rent/apartment/property-3942845,2026-08-02T21:33:05.478720+00:00
3940190,尖沙咀地鐵站3分鐘直達 大3房大廳 平地電梯 24小時保安,尖沙咀,美麗都大廈,16000,550,3,1,駿輝地產港一有限公司,https://i1.28hse.com/2026/07/202607300533477664203_thumb.jpg,https://www.28hse.com/rent/apartment/property-3940190,2026-08-02T21:33:05.478720+00:00
3916857,"【VR/圖則】歡迎大學生,2房+儲物房,電梯,保安,近理工,尖沙咀/紅磡/佐敦站",尖沙咀,宏富大廈,16500,483,2,1,小村置業有限公司,https://i1.28hse.com/2026/07/202607032350466721092_thumb.jpg,https://www.28hse.com/rent/apartment/property-3916857,2026-08-02T21:33:05.478720+00:00
3939669,《海景2房2廁》✦傢電齊全✦近K11✦靜中帶旺✦近MTR✦配套完善✦,尖沙咀,恆星樓,16800,431,2,2,駿輝地產發展有限公司,https://i1.28hse.com/2026/08/202608011421377580746_thumb.jpg,https://www.28hse.com/rent/apartment/property-3939669,2026-08-02T21:33:05.478720+00:00
3929605,地點極好 維多利亞海旁 時尚潮流 浪漫溫馨 家私電器齊 比美五星級酒店,尖沙咀,遠東大廈,12000,695,1,1,中興地產有限公司,https://i1.28hse.com/2026/07/202607121853264550719_thumb.jpg,https://www.28hse.com/rent/apartment/property-3929605,2026-08-02T21:33:05.478720+00:00
3936237,1房1卫！學生/工作黨宿舍！免上網費！全新洗衣机/雪櫃,尖沙咀,遠東大廈,8800,695,1,1,世紀21聯動地產,https://i1.28hse.com/2026/07/202607171836493687839_thumb.jpg,https://www.28hse.com/rent/apartment/property-3936237,2026-08-02T21:33:05.478720+00:00
3919720,尖沙咀地鐵上蓋平地電梯3房套客飯廳廚廁合家庭學生宿舍,尖沙咀,華源大廈,16800,478,3,4,金國置業,https://i1.28hse.com/2026/07/20260705202130555616_thumb.jpg,https://www.28hse.com/rent/apartment/property-3919720,2026-08-02T21:33:05.478720+00:00
3856537,雅裝2房1廳，有電梯！近佐敦地鐵站！,佐敦,單幢樓房,16800,407,2,1,美豐行物業公司,https://i1.28hse.com/2026/07/202607302025162039796_thumb.jpg,https://www.28hse.com/rent/apartment/property-3856537,2026-08-02T21:33:05.478720+00:00
3930375,近理工大學 靚裝2房 連傢電 有電梯 保安 有匙引看,佐敦,金寶樓,17000,407,2,1,中興地產有限公司,https://i1.28hse.com/2026/08/20260801182608768591_thumb.jpg,https://www.28hse.com/rent/apartment/property-3930375,2026-08-02T21:33:05.478720+00:00
3879841,"【2房1廳特大/ 650呎】租$14800, 閩街5號",佐敦,唐樓,14800,650,2,1,景龍物業代理公司,https://i1.28hse.com/2026/06/202606061851537129036_thumb.jpg,https://www.28hse.com/rent/apartment/property-3879841,2026-08-02T21:33:05.478720+00:00
3957315,地段極佳 華麗實用 自住極品 地鐵站出口 時間就是金錢,佐敦,百誠大廈,16500,468,2,,中興地產有限公司,https://i1.28hse.com/2026/08/202608022337301865582_thumb.jpg,https://www.28hse.com/rent/apartment/property-3957315,2026-08-02T21:33:05.478720+00:00
3957211,地鐵站口 華麗實用 品味之居 陽光燦爛 自住極品 請即比較,佐敦,金寶樓,16500,407,2,1,中興地產有限公司,https://i1.28hse.com/2026/08/202608022031244398867_thumb.jpg,https://www.28hse.com/rent/apartment/property-3957211,2026-08-02T21:33:05.478720+00:00
3940061,靚裝2房，近地鐵站，包全屋傢俬，拎包即住,佐敦,金寶樓,17000,407,2,1,駿輝地產建榮有限公司,https://i1.28hse.com/2026/08/202608021536001713889_thumb.jpg,https://www.28hse.com/rent/apartment/property-3940061,2026-08-02T21:33:05.478720+00:00
3956288,超值大間兩房連儲物室！街窗有匙即睇，快者得,佐敦,文蔚樓,16000,480,2,1,中興地產有限公司,https://i1.28hse.com/2026/08/202608021328061746114_thumb.jpg,https://www.28hse.com/rent/apartment/property-3956288,2026-08-02T21:33:05.478720+00:00
3955725,平地電梯 三房一廳 家電齊全 鄰近佐敦及油麻地站,佐敦,金勳大廈,16500,503,3,1,君皇地產有限公司,https://i1.28hse.com/2026/08/202608012034188607655_thumb.jpg,https://www.28hse.com/rent/apartment/property-3955725,2026-08-02T21:33:05.478720+00:00
3955646,{誠意推介} 乾淨企理 中層開揚 實用2房大廳 近地鐵,佐敦,金寶樓,16800,407,2,1,中興地產有限公司,https://i1.28hse.com/2026/08/202608011935236153479_thumb.jpg,https://www.28hse.com/rent/apartment/property-3955646,2026-08-02T21:33:05.478720+00:00
3932009,佐敦！2房大廳！407尺！2分鐘地鐵！【金寶樓】房大廳大 合家庭客！有電梯,佐敦,,17000,407,2,1,駿輝地產發展有限公司,https://i1.28hse.com/2026/08/202608011808567574543_thumb.jpg,https://www.28hse.com/rent/apartment/property-3932009,2026-08-02T21:33:05.478720+00:00
3955191,精裝2房2廳，間格寬敞，有匙引看,佐敦,金寶樓,17000,407,2,1,金國置業,https://i1.28hse.com/2026/08/20260801161523862336_thumb.jpg,https://www.28hse.com/rent/apartment/property-3955191,2026-08-02T21:33:05.478720+00:00
3954905,核心地段 2房梗廚傢俬 還價即成,佐敦,金寶樓,17000,407,2,1,利嘉閣地產有限公司,https://i1.28hse.com/2026/08/2026080114040350370_thumb.jpg,https://www.28hse.com/rent/apartment/property-3954905,2026-08-02T21:33:05.478720+00:00
3954750,近地鐵站，鄰近九龍公園，旺中帶靜。,佐敦,金寶樓,17000,407,2,1,中興地產有限公司,https://i1.28hse.com/2026/08/202608011243425730231_thumb.jpg,https://www.28hse.com/rent/apartment/property-3954750,2026-08-02T21:33:05.478720+00:00
3954668,高層 實用2房 樓下佐敦站,佐敦,金寶樓,16800,407,2,1,金國置業,https://i1.28hse.com/2026/08/202608011158258810927_thumb.jpg,https://www.28hse.com/rent/apartment/property-3954668,2026-08-02T21:33:05.478720+00:00
3953989,近地鐵實用2房 有匙即睇,佐敦,金寶樓,17000,407,2,1,金國置業,https://i1.28hse.com/2026/07/202607311806186864287_thumb.jpg,https://www.28hse.com/rent/apartment/property-3953989,2026-08-02T21:33:05.478720+00:00
3952850,*秒到地鐵站 實用2房 多窗開揚 連部份傢俬 平地電梯 有匙即睇*,佐敦,金寶樓,17000,407,2,1,廣信地產顧問有限公司,https://i1.28hse.com/2026/07/202607302009563025233_thumb.jpg,https://www.28hse.com/rent/apartment/property-3952850,2026-08-02T21:33:05.478720+00:00
3952759,10秒鐘到地鐵站方兩房全屋傢俬,佐敦,金寶樓,17000,407,2,1,世紀21中華-佐敦,https://i1.28hse.com/2026/07/202607301901312981330_thumb.jpg,https://www.28hse.com/rent/apartment/property-3952759,2026-08-02T21:33:05.478720+00:00
3926780,▷高層雅裝𝟮房 光猛多窗◁【金寶樓】3分鐘到佐敦站 近九龍公園,佐敦,金寶樓,17000,407,2,1,駿輝地產專業有限公司,https://i1.28hse.com/2026/07/202607301900287885650_thumb.jpg,https://www.28hse.com/rent/apartment/property-3926780,2026-08-02T21:33:05.478720+00:00
3924558,三房兩廳 齊家電 拎包入住 廁所乾濕分離 近地鐵站近港理 歡迎學生,佐敦,金勳大廈,16500,503,3,1,君皇地產有限公司,https://i1.28hse.com/2026/07/202607302330424970886_thumb.jpg,https://www.28hse.com/rent/apartment/property-3924558,2026-08-02T21:33:05.478720+00:00
